n,p,time_budget_minutes,num_instances,pgd_avg_independent_set_size,gurobi_avg_independent_set_size,absolute_gap_pgd_minus_gurobi,relative_improvement_vs_gurobi_percent
2000,0.3,5,8,27.0,21.875,5.125,23.428571428571427
2000,0.5,5,8,14.25,13.125,1.125,8.571428571428571
2000,0.7,5,8,10.0,8.375,1.625,19.402985074626866
4000,0.3,5,8,28.5,20.5,8.0,39.02439024390244
4000,0.5,5,8,16.0,11.625,4.375,37.634408602150536
4000,0.7,5,8,10.5,7.375,3.125,42.3728813559322
6000,0.3,5,8,30.25,21.75,8.5,39.08045977011494
6000,0.5,5,8,17.375,12.25,5.125,41.83673469387755
6000,0.7,5,8,10.5,8.0,2.5,31.25
8000,0.3,5,8,30.875,23.25,7.625,32.795698924731184
8000,0.5,5,8,17.375,13.25,4.125,31.132075471698112
8000,0.7,5,8,10.75,7.75,3.0,38.70967741935484
10000,0.3,5,8,30.625,22.875,7.75,33.87978142076503
10000,0.5,5,8,17.0,13.5,3.5,25.925925925925927
10000,0.7,5,8,10.625,8.25,2.375,28.78787878787879
20000,0.3,5,8,32.5,24.5,8.0,32.6530612244898
20000,0.5,5,8,17.875,14.0,3.875,27.678571428571427
20000,0.7,5,8,11.0,8.625,2.375,27.536231884057973
30000,0.3,5,8,33.625,26.25,7.375,28.095238095238095
30000,0.5,5,8,18.75,14.25,4.5,31.57894736842105
30000,0.7,5,8,11.25,9.125,2.125,23.28767123287671
40000,0.3,5,8,34.125,26.75,7.375,27.570093457943926
40000,0.5,5,8,18.875,15.125,3.75,24.793388429752067
40000,0.7,5,8,11.625,9.625,2.0,20.77922077922078
