graph_name,avg_init_time_sec,avg_init_size
er_n10000_p0.30000,783.21825,32.25
er_n10000_p0.50000,1625.062625,18.125
er_n10000_p0.70000,1384.237625,11.125
er_n20000_p0.30000,2510.655,34.125
er_n20000_p0.50000,2407.15875,19.0
er_n20000_p0.70000,2905.55,11.875
er_n2000_p0.30000,309.00875,27.5
er_n2000_p0.50000,327.44275,16.125
er_n2000_p0.70000,368.753375,10.125
er_n30000_p0.30000,3533.13125,35.125
er_n30000_p0.50000,4333.006667,20.0
er_n4000_p0.30000,346.8555,29.375
er_n4000_p0.50000,608.526875,17.0
er_n4000_p0.70000,820.27375,11.0
er_n6000_p0.30000,474.93525,30.25
er_n6000_p0.50000,994.785375,17.375
er_n6000_p0.70000,1258.280875,11.0
er_n8000_p0.30000,830.066125,31.0
er_n8000_p0.50000,1578.481,18.0
er_n8000_p0.70000,1302.88375,11.125
